27.8	88953
26.0	83582
25.2	86309
24.3	82772
18.5	65329
13.9	50213
10.1	39478
6.27	31425
2.69	24440
-0.68	19268
-3.71	15628
-6.24	12861
-8.22	11314
-10.5	9612
-12.6	8201
-14.6	7239
-16.5	6239
-18.5	5528
-18.9	5248
-20.2	4960
-21.7	4243
-23.1	3826
-24.2	3719
-25.0	3451
